 #dectime HR   MN      Qh          Qe           T         H20         WS          DIR           P         Kdn         Ldn       Qstar    
   #units  h    m    W|m2        W|m2        degC        g|m3        m|s          deg         hPa        W|m2        W|m2        W|m2     
 172.1250   3   0  9.7700      18.650      19.738      11.225     0.68300      76.325      1010.3     -2.6580      295.71     -93.999    
 172.1458   3  30  7.6630     0.60800      19.700      10.930     0.48300      94.317      1010.0     -2.5140      294.72     -94.727    
 172.1667   4   0  43.945      4.9260      19.286      10.847     0.86800      150.51      1009.9     -3.0250      294.50     -93.993    
 172.1875   4  30  43.829     -8.7710      19.105      10.505      1.0800      149.04      1009.8     -2.4290      294.94     -91.961    
 172.2083   5   0  5.9510      6.4680      19.342      10.256     0.20300      182.29      1009.6     -3.0160      295.88     -92.032    
 172.2292   5  30  42.977     -5.0830      19.008      10.260     0.57600      132.44      1009.6     -2.7580      295.10     -91.600    
 172.2500   6   0  10.698      6.8840      19.164      9.6370      1.4810      335.25      1009.7    -0.12800      295.80     -88.978    
 172.2708   6  30  11.611      11.290      19.100      9.3360      1.4100      356.96      1010.0      21.840      296.57     -70.416 
 172.2917   7   0  24.812      12.925      19.528      9.1820      2.1650      349.02      1010.0      99.450      299.25     -10.733    
 172.3125   7  30  42.838      20.164      19.520      9.1670      1.9010      327.81      1010.2      184.90      301.94      57.910    
 172.3333   8   0  50.640      21.679      19.936      9.2840      1.0690      347.12      1010.3      232.55      307.47      100.71    
 172.3542   8  30  79.882      3.0610      20.652      9.4230     0.30900      208.27      1010.5      285.55      306.11      137.73    
 172.3750   9   0  114.58     -10.966      20.941      9.7950      1.3650      150.09      1010.6      378.05      306.95      209.38    
 172.3958   9  30  138.58      18.703      21.639      9.9310      1.1430      134.87      1010.6      507.10      313.23      309.47    
 172.4167  10   0  158.17      47.633      21.947      9.7930      1.8140      244.23      1010.8      593.65      316.31      375.17    
 172.4375  10  30  268.52     -6.1600      22.699      9.5130      1.5530      270.57      1010.7      646.00      317.31      412.42    
 172.4583  11   0  188.96     -999.00      23.449     -999.00      1.5990      270.09      1010.6      729.50      319.61      477.20    
 172.4792  11  30  330.28     -999.00      23.874     -999.00      2.2390      242.07      1010.5      796.50      322.85      527.04    
 172.5000  12   0  346.29     -999.00      24.108     -999.00      2.5670      240.15      1010.5      850.50      326.28      567.67    
 172.5208  12  30  226.05      39.073      24.208      8.9330      3.1020      242.01      1010.5      892.50      330.93      598.53    
 172.5417  13   0  219.51      42.661      24.599      8.7560      3.6450      237.40      1010.3      922.50      331.97      622.29    
 172.5625  13  30  298.92      50.737      25.449      8.5380      3.2330      241.30      1010.2      941.00      334.06      635.64    
 172.5833  14   0  258.13      102.89      25.995      8.0190      2.9550      215.07      1010.0      937.00      337.36      632.80    
 172.6042  14  30  447.12     -24.522      25.359      8.2790      3.6870      218.06      1009.9      929.00      335.14      627.34    
 172.6250  15   0  673.54     -1.7100      24.081      9.4000      3.1790      240.02      1009.8      910.00      331.58      615.13    
 172.6458  15  30  353.15     -999.00      23.779     -999.00      3.4230      247.69      1009.7      879.00      329.80      587.65    
 172.6667  16   0  410.06     -999.00      24.194     -999.00      1.8450      218.80      1009.4      834.50      330.36      550.80    
 172.6875  16  30  346.20     -999.00      24.067     -999.00      2.6050      221.87      1009.2      780.50      326.70      507.25    
 172.7083  17   0  462.38      98.736      24.167      8.7360      2.2940      232.95      1009.0      710.15      324.46      451.40    
 172.7292  17  30  258.93      50.955      24.065      8.5790      3.3220      252.56      1008.8      635.90      323.31      389.63    
 172.7500  18   0  326.43      65.111      23.328      9.3810      2.0030      226.55      1008.7      502.00      320.64      284.27    
